"Part";"Value";"Device";"Package";"Description";"";
"C1";"0.1uF";"CAPACITORRAD-3MM";"CAPPRD254W65D300H300B";"Capacitor";"";
"C2";"100uF";"CAP_THCAP-TH-5MM";"CAP-TH-5MM";"Capacitor Electro. TH";"";
"D1";"LM4040CIZ-2.5";"ZENERLM4040CIZ-2.5";"TO-92";"Voltage Reference - Zener Diode";"";
"D2";"REC2";"LED_THLED-2.54";"LEDRD254W60D565H860B";"TH LED - large";"";
"D3";"PWR";"LED0805";"R0805";"LED GENERIC";"";
"D4";"REC";"LED0805";"R0805";"LED GENERIC";"";
"D5";"ERR";"LED0805";"R0805";"LED GENERIC";"";
"E1";"SOLDERING_PADS";"SOLDERING_PADS";"SOLDERING_PADS";"Pads for soldering wires";"";
"F1";"0215002.MXESPP";"FUSE0215002.MXESPP";"0215002.MXESPP";"Fuse - Various Devices";"";
"J1";"FET_BYPASS";"HDR1X22P2.54MM";"HDR1X2";"Header 2pin 2.54mm pitch";"";
"J2";"HDR2X7HDR2X7";"HDR2X7HDR2X7";"HDR2X7";"";"";
"Q1";"FQP27P06";"FQP27P06";"TO-220-BEND";"FQP27P06 ON Semiconductor";"";
"R1";"10k";"RESISTOR0805";"R0805";"Resistor US";"";
"R2";"100k";"PV36W104C01B00";"PV36W104C01B00";"PV36W104C01B00 Bourns Inc.";"";
"R3";"400";"RESISTOR0805";"R0805";"Resistor US";"";
"R4";"10k";"RESISTOR0805";"R0805";"Resistor US";"";
"R5";"10k";"RESISTOR0805";"R0805";"Resistor US";"";
"R6";"400";"RESISTOR0805";"R0805";"Resistor US";"";
"R7";"400";"RESISTOR0805";"R0805";"Resistor US";"";
"R8";"400";"RESISTOR0805";"R0805";"Resistor US";"";
"R9";"400";"RESISTOR0805";"R0805";"Resistor US";"";
"R10";"400";"RESISTOR0805";"R0805";"Resistor US";"";
"R11";"10k";"RESISTOR0805";"R0805";"Resistor US";"";
"R12";"10k";"RESISTOR0805";"R0805";"Resistor US";"";
"R13";"400";"RESISTOR0805";"R0805";"Resistor US";"";
"SW1";"PMS9P1B10M2QE";"SPSTPMS9P1B10M2QE";"PMS9P1B10M2QE";"Switch SPST";"";
"SW2";"MS9P1B10M2QE";"SPSTPMS9P1B10M2QE";"PMS9P1B10M2QE";"Switch SPST";"";
"U1";"LM393AP";"LM393APDIP8";"DIP8";"LM393AP Texas Instruments";"";
"U2";"TSR2-2450";"TSR2-2450";"TSR2-2450";"TSR 2-2450 Traco Power";"";
"U3";"TSR2-2450";"TSR2-2450";"TSR2-2450";"TSR 2-2450 Traco Power";"";
"U4";"DS18B20";"DS18B20";"TO-92";"DS18B20+T&R Maxim Integrated";"";
"U5";"RPIPI_3A+";"RPIPI_3A+";"PI_3A+";"Pi Header with different package variations";"";
